Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru milk+puff+pastry<br/><img src="https://cdn.pixabay.com/photo/2017/02/23/19/10/cream-puff-2092962_150.jpg"/>" | Time:"0.98582410812378"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru butter<br/><img src="https://cdn.pixabay.com/photo/2015/01/14/19/20/bake-599521_150.jpg"/>" | Time:"1.1522929668427"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru olive+oil<br/><img src="https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_150.jpg"/>" | Time:"1.1619019508362"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru aubergine<br/><img src="https://cdn.pixabay.com/photo/2016/09/10/17/47/eggplant-1659784_150.jpg"/>" | Time:"1.4448289871216"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru eggs<br/><img src="https://cdn.pixabay.com/photo/2017/03/23/14/54/easter-2168521_150.jpg"/>" | Time:"1.4685318470001"
Request:"/cc/index.php/run" | Response:"Nu am gasit imagine pentru vodka+floury+potatoes" | Time:"2.0908598899841"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru fries<br/><img src="https://cdn.pixabay.com/photo/2018/03/18/20/10/fried-3238173_150.jpg"/>" | Time:"1.0738120079041"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru plain+flour<br/><img src="https://cdn.pixabay.com/photo/2016/03/05/19/23/bread-1238384_150.jpg"/>" | Time:"0.75987195968628"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru water+butter<br/><img src="https://cdn.pixabay.com/photo/2017/03/16/09/53/watercress-2148629_150.jpg"/>" | Time:"0.37352514266968"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru flour<br/><img src="https://cdn.pixabay.com/photo/2016/02/05/15/34/pasta-1181189_150.jpg"/>" | Time:"1.05894780159"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru rice+stick+noodles<br/><img src="https://cdn.pixabay.com/photo/2020/01/17/16/42/food-4773380_150.jpg"/>" | Time:"1.0871188640594"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru potatoes<br/><img src="https://cdn.pixabay.com/photo/2014/08/06/20/32/potatoes-411975_150.jpg"/>" | Time:"1.09237408638"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru almonds<br/><img src="https://cdn.pixabay.com/photo/2017/07/28/14/29/macarons-2548827_150.jpg"/>" | Time:"1.1211740970612"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru beef<br/><img src="https://cdn.pixabay.com/photo/2013/10/09/02/26/beef-192976_150.jpg"/>" | Time:"1.140438079834"
Request:"/cc/index.php/run" | Response:"Am gasit imagine pentru olive+oil<br/><img src="https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_150.jpg"/>" | Time:"1.487685918808"
